Name,Frequency
ATL_2L_CTR,128.800
ATL_42_CTR,120.725
ATL_14_CTR,132.250
ATL_A1_CTR,132.975
ATL_A3_CTR,124.375
ATL_L3_TWR,123.850
ATL_32_CTR,125.625
ATL_45_CTR,127.850
ATL_29_CTR,128.800
ATL_48_CTR,125.150
ATL_50_CTR,124.375
ATL_24_CTR,128.100
ATL_DA_CTR,133.175
ATL_B_APP,133.475
ATL_AVL_CTR,121.350
ATL_05_CTR,132.050
ATL_23_CTR,124.325
ATL_2_DEL,118.700
ATL_43_CTR,132.975
ATL_19_CTR,123.950
ATL_Y_APP,124.725
BAK_LC_TWR,118.600
BA_LGW_OBS,131.470
ATL_PS_CTR,125.575
AV_APP,133.550
BAF_GND-,121.700
AZO_R_APP,121.200
BAB_TWR,119.400
AUS_DEL,125.500
ATL_R6_GND,131.375
ATL_S_GND,121.650
AY_GND,121.800
AYPM-W_CTR,122.600
AYPM_CTR,123.400
AV_TWR,120.100
ATW_GND,121.700
AUS_W_APP,119.000
AUS_E_TWR,121.000
AYWK_TWR,118.500
ATL_R_RMP,131.370
AYPM-A_CTR,129.800
AYPM-N_CTR,123.750
AUS_E_GND,121.900
AYPY_DEP,124.100
ATL_R3_RMP,129.275
AUS_S_APP,120.875
AYNZ_APP,118.600
BA_LHR_OBS,131.600
AUS_F_APP,125.325
ATL_X_APP,119.800
ATL_O_APP,124.600
AZO_GND,121.900
ATL_R5_RMP,129.375
AUS_W_GND,121.700
AUS_P_APP,118.150
BAD_GND,121.800
AY_TWR,123.250
ATL_P_APP,126.975
ATL_MN_GND,125.000
AUS_E_APP,127.225
ATL_R9_RMP,131.875
AVX_GND,133.625
AVP_S_APP,126.300
ATW_TWR,119.600
BAK_TWR,118.600
AUS_APP,119.000
ATL_R9_CTR,120.450
AZO_G_APP,128.400
ATL_UL_CTR,125.150
ATL_R2_RMP,131.850
AYPY_GND,121.700
AVX_TWR,134.300
BA_T5_OBS,131.770
ATL_Q_APP,124.300
ATL_S2_CTR,123.950
BAF_TWR-,118.900
AUS_W_TWR,118.225
AYMD_TWR,118.100
ATL_N_APP,133.475
BAD_TWR,128.250
BAB_GND,121.600
BAK_GC_GND,121.600
AZO_DEL,121.750
ATL_S_APP,125.650
ATL_R1_RMP,131.450
AYMH_TWR,120.500
AVL_W_APP,124.650
AVL_GND,121.900
AVP_N_APP,124.500
AZO_W_APP,124.600
AYPY_TWR,118.100
ATL_S1_CTR,126.425
AYGA_TWR,118.700
AYNZ_TWR,121.700
AVP_TWR,120.100
AVL_E_APP,125.800
AVP_APP,126.300
AYTK_TWR,118.200
AZO_N_APP,119.800
AVL_TWR,121.100
ATL_MS_GND,118.650
AYPY_DEL,124.400
BAIRES_CTR,125.900
ATL_R4_RMP,130.075
AZO_E_APP,119.200
AUS_GND,121.900
AYPY_APP,125.800
ATL_LO_CTR,121.350
AZO_S_APP,133.825
AZO_TWR,118.300
ATL_UH_CTR,125.025
ATL_R8_RMP,128.975
AYPE_CTR,125.600
AUS_TWR,121.000
ATL_V_APP,127.250
AVP_GND,121.925
ATL_N_GND,121.900
BDA_APP,127.200
BFM_GND,121.700
BICC_2_FSS,2.971
BHM_DEL,125.675
BIGJ_I_TWR,118.600
BFL_GND,121.700
BBG_GND,118.400
BAZ_TWR,127.050
BHM_TWR,119.900
BIKF_GND,121.900
BGTL_TWR,126.100
BFL_APP,118.800
BAZ_GND,120.175
BGTL_APP,134.100
BIG_TWR,119.800
BIRD_E1_CTR,126.750
BIHU_I_TWR,119.200
BBG_TWR,128.150
BIEG_I_TWR,119.400
BDL_GND-,121.900
BIAR_TWR,118.200
BDA_GND,124.500
BIL_W_APP,120.500
BIHN_I_TWR,119.100
BED_GND-,121.700
BIKF_DEL,121.000
BGGL_FSS,121.300
BIRD_1_DEL,127.850
BIKF_F_APP,121.300
BGR_S_APP-,124.500
BGTL_GND,119.900
BGSF_APP,126.200
BHM_E_APP,120.500
BGM_L_APP,118.600
BHM_GND,121.700
BGGH_I_TWR,119.100
BGM_GND,121.900
BCT_TWR,118.425
BGM_TWR,119.300
BIKF_TWR,118.300
BDR_GND,121.750
BFL_TWR,118.100
BALT_CTR,132.300
BIKR_I_TWR,119.100
BICC_1_FSS,11.279
BICC_3_FSS,12.306
BHM_F_APP,126.150
BFM_TWR,118.800
BGM_H_APP,127.550
BHM_S_APP,123.800
BGR_B_APP-,118.925
BHM_W_APP,120.150
BIRD_3_DEL,129.625
BGKK_I_TWR,118.100
BCT_GND,121.800
BGR_APP-,118.925
BED_DEL-,121.850
BIL_TWR,127.200
BDL_F_APP-,127.225
BIL_E_APP,119.200
BET_TWR,118.700
BFI_TWR,118.300
BDL_DEL-,121.750
BDR_TWR,120.900
BIGR_I_TWR,118.100
BGR_H_APP-,133.600
BDL_H_APP-,127.800
BDA_TWR,118.100
BDL_TWR-,120.300
BGCO_I_TWR,118.100
BED_TWR-,118.500
BFI_GND,121.900
BDA_CTR,128.500
BIKF_APP,119.300
BDL_B_APP-,123.950
BGR_TWR-,120.700
BIKF_2_GND,126.200
BIRD_2_DEL,126.550
BGM_DEL,125.050
BDA_C_CTR,119.100
BDL_E_APP-,119.000
BDL_APP-,123.950
