APPCH:040,S,S02-Y, ,KSI,DG,D, ,VYM , ,   ,CF, ,KSI,DG,D, ,      ,0000,0000,0200,0002, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S02-Y, ,KSI,DG,D, ,V   , ,   ,FA, ,KSI,DG,D, ,      ,0000,0000,0200,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S02-Y, ,KSI,DG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,S,S02-Y, ,KSI,DG,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2000,T010,+,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:010,A,S20-Y,KSI1,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,04000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,S20-Y,KSI1,KSI,DG,D, ,VY  , ,   ,FC, ,KSI,DG,D, ,      ,0000,0000,0370,0070,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S20-Y,KSI1,FF20,DG,P,C,EE  ,L,   ,CF,Y,KSI,DG,D, ,      ,0130,0053,1930,0020,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S20-Y,KSI2,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,04000,-,140,    ,   , , , , , ,0, ,S;
APPCH:020,A,S20-Y,KSI2,KSI,DG,D, ,VY  , ,   ,FC, ,KSI,DG,D, ,      ,0000,0000,0250,0070,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S20-Y,KSI2,FF20,DG,P,C,EE  ,L,   ,CF,Y,KSI,DG,D, ,      ,0130,0053,1930,0020,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S20-Y, ,FF20,DG,P,C,E  F, ,   ,IF, ,KSI,DG,D, ,      ,0130,0053,    ,    ,+,02400,     ,04000, ,   ,    ,   ,KSI,DG,D, , ,0, ,S;
APPCH:030,S,S20-Y, ,RW20,DG,P,G,G  M, ,   ,CF, ,KSI,DG,D, ,      ,0102,0009,1930,0044, ,00994,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S20-Y, ,KSI,DG,D, ,VYM , ,   ,CF, ,KSI,DG,D, ,      ,0000,0000,1930,0009, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S20-Y, ,KSI,DG,D, ,V   , ,   ,FA, ,KSI,DG,D, ,      ,0000,0000,1930,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S20-Y, ,KSI,DG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,S,S20-Y, ,KSI,DG,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0130,T010,+,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
RWY:RW02 ,     ,      ,00943, ,    , ,   ;N06422071,W001353347,0000;
RWY:RW20 ,     ,      ,00944, ,IKU ,1,   ;N06432430,W001352052,0000;
