SID:030,2,TEKKO9, ,TEKKO,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,TEKKO9,FUNKA,TEKKO,RJ,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,TEKKO9,FUNKA,FUNKA,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,TEKKO9,FUNKA,DALBI,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TO1BOK,RW18B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TO1BOK,RW18B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TO1BOK,RW18B,D088L,RJ,E,A,E   , ,   ,CF, ,CHE,RJ,D, ,      ,0893,0120,0880,0070,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TO1BOK,RW18B,D088V,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TO1BOK,RW18B,BOKSO,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TO1BOK,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TO1BOK,RW36B, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TO1BOK,RW36B,D088L,RJ,E,A,E   , ,   ,CF, ,CHE,RJ,D, ,      ,0893,0120,0880,0010,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TO1BOK,RW36B,D088V,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TO1BOK,RW36B,BOKSO,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TO1RAK,RW18B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TO1RAK,RW18B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TO1RAK,RW18B,D097L,RJ,E,A,E   , ,   ,CF, ,CHE,RJ,D, ,      ,0978,0120,0970,0060,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TO1RAK,RW18B,D097V,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TO1RAK,RW18B,RAKNO,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TO1RAK,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TO1RAK,RW36B, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TO1RAK,RW36B,D097L,RJ,E,A,E   , ,   ,CF, ,CHE,RJ,D, ,      ,0978,0120,0970,0010,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TO1RAK,RW36B,D097V,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TO1RAK,RW36B,RAKNO,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TOBBY7,RW18B,CHE,RJ,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TOBBY7,RW18B,CHE27,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TOBBY7,RW18B,TOBBY,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TOBBY7,RW36B, , , , ,    , ,   ,CD, ,CHE,RJ,D, ,      ,    ,    ,0030,0070,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TOBBY7,RW36B,D032D,RJ,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TOBBY7,RW36B,CHE,RJ,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TOBBY7,RW36B,D185F,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TOBBY7,RW36B,D185K,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,1,TOBBY7,RW36B,TOBBY,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,TOBBY7,BUTOS,TOBBY,RJ,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,TOBBY7,BUTOS,NOHEY,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,TOBBY7,BUTOS,APIOS,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
