SID:010,2,OF01D,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0900,    ,+,00990,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,2,OF01D,RW09,DO,ZS,D,B,E  H, ,   ,CF, ,XUZ,ZS,D, ,      ,0912,0131,0900,0100,+,02300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,OF01D,RW09,MEXUP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OF01D,RW09,OF,ZS,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OF11D,RW27,CK,ZS,P,N,EY  , ,   ,CF, ,XUZ,ZS,D, ,      ,2684,0042,2700,0040, ,     ,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,2,OF11D,RW27,DO,ZS,D,B,E   ,L,   ,CF,Y,XUZ,ZS,D, ,      ,0906,0132,0750,0170,+,05910,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,OF11D,RW27,MEXUP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OF11D,RW27,OF,ZS,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OF81D,RW27,XZ112,ZS,P,C,EY  , ,010,CF, ,XUZ,ZS,D, ,      ,2689,0042,2700,0040, ,     ,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,OF81D,RW27,DO,ZS,D,B,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,OF81D,RW27,MEXUP,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,OF81D,RW27,OF,ZS,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OF91D,RW09,DO,ZS,D,B,E  H, ,010,CF, ,DPX,ZS,D, ,      ,2224,0153,0900,0130,+,02300,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,OF91D,RW09,MEXUP,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,OF91D,RW09,OF,ZS,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OMU01D,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0900,    ,+,00990,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,2,OMU01D,RW09,DO,ZS,D,B,E  H, ,   ,CF, ,XUZ,ZS,D, ,      ,0912,0131,0900,0100,+,02300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,OMU01D,RW09,MEXUP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OMU01D,RW09,OMUDI,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OMU11D,RW27,CK,ZS,P,N,EY  , ,   ,CF, ,XUZ,ZS,D, ,      ,2684,0042,2700,0040, ,     ,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,2,OMU11D,RW27,DO,ZS,D,B,E   ,L,   ,CF,Y,XUZ,ZS,D, ,      ,0906,0132,0750,0170,+,05910,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,OMU11D,RW27,MEXUP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OMU11D,RW27,OMUDI,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OMU81D,RW27,XZ112,ZS,P,C,EY  , ,010,CF, ,XUZ,ZS,D, ,      ,2689,0042,2700,0040, ,     ,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,OMU81D,RW27,DO,ZS,D,B,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,OMU81D,RW27,MEXUP,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,OMU81D,RW27,OMUDI,ZS,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OMU91D,RW09,DO,ZS,D,B,E  H, ,010,CF, ,XUZ,ZS,D, ,      ,0912,0131,0900,0130,+,02300,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,OMU91D,RW09,MEXUP,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10830,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,OMU91D,RW09,OMUDI,ZS,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,DPX01A,RW09,DPX,ZS,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,11800, ,   ,    ,   ,XUZ,ZS,D, , , , , ;
