STAR:040,4,VIICE2,NICKO,CLYER,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,VIICE2,NICKO,JJETS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,VIICE2,NICKO,VIICE,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,VIICE2,PTOON,PTOON,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL280,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,VIICE2,PTOON,CLYER,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,VIICE2,PTOON,JJETS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:040,4,VIICE2,PTOON,VIICE,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,VIICE2,ZEGEE,ZEGEE,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,VIICE2,ZEGEE,KROKT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:030,4,VIICE2,ZEGEE,VIICE,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,VIICE2,ZEUSS,ZEUSS,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,VIICE2,ZEUSS,MULYN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL280,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,VIICE2,ZEUSS,ZEGEE,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,VIICE2,ZEUSS,KROKT,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,VIICE2,ZEUSS,VIICE,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,VIICE2,ZQA,ZQA,MY,D, ,V C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,VIICE2,ZQA,SUTON,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,VIICE2,ZQA,PTOON,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL280,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,VIICE2,ZQA,CLYER,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,VIICE2,ZQA,JJETS,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,VIICE2,ZQA,VIICE,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,VIICE2,ALL,VIICE,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,16000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,VIICE2,ALL,FRARI,K7,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,250,    ,   , , , , , , , , ;
STAR:030,5,VIICE2,ALL,FRARI,K7,E,A,EE  , ,   ,FM, ,SRQ,K7,D, ,      ,1326,1915,3140,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R05-P,ADONE,ADONE,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R05-P,ADONE,CADAV,K7,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R05-P,BUUGG,BUUGG,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R05-P,BUUGG,CADAV,K7,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R05-P,CADAV,CADAV,K7,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0450,0050,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R05-P, ,CADAV,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R05-P, ,FITKO,K7,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0450,0050,+,01600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R05-P, ,JACCS,K7,P,C,E S , ,   ,TF, , , , , ,      ,    ,    ,0450,0031,+,00460,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:030,R,R05-P, ,RW05,K7,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0450,0011, ,00052,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:040,R,R05-P, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0450,    ,+,00500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R05-P, ,CADAV,K7,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R05-P, ,CADAV,K7,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0450,0050,+,03000,     ,     ,-,175,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23-P,MARKR,MARKR,K7,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,2250,0050,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23-P,SNBRD,SNBRD,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23-P,SNBRD,MARKR,K7,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23-P,ZUNEP,ZUNEP,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23-P,ZUNEP,MARKR,K7,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R23-P, ,MARKR,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R23-P, ,YEPUR,K7,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,2250,0050,+,01600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R23-P, ,TNSEN,K7,P,C,E S , ,   ,TF, , , , , ,      ,    ,    ,2250,0031,+,00460,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:030,R,R23-P, ,RW23,K7,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,2250,0011, ,00056,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:040,R,R23-P, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2250,    ,+,00340,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R23-P, ,CADAV,K7,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R23-P, ,CADAV,K7,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0450,0050,+,03000,     ,     ,-,175,    ,   , , , , , ,B,J,S;
RWY:RW05 ,     ,      ,00004, ,    , ,   ;N25191025,W080164764,0000;
RWY:RW23 ,     ,      ,00006, ,    , ,   ;N25194133,W080162060,0442;
