STAR:010,4,ENDEE8,IRK,IRK,K3,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,IRK,ENNZO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,IRK,FUDDD,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL310,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,IRK,BOOKK,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL290,FL240,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,IRK,LLVSS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,IRK,PEALE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,IRK,TOLCA,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,IRK,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:085,4,ENDEE8,IRK,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE8,IRK,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,JALAP,JALAP,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,JALAP,KAMBL,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL270,FL240,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,JALAP,MIGGS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL210,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,JALAP,EDENS,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,JALAP,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,JALAP,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,JALAP,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,JALAP,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:085,4,ENDEE8,JALAP,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE8,JALAP,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,KAMBL,KAMBL,K5,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL270,FL240,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,KAMBL,MIGGS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL210,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,KAMBL,EDENS,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,KAMBL,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,KAMBL,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,KAMBL,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,KAMBL,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:075,4,ENDEE8,KAMBL,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,KAMBL,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,LLVSS,LLVSS,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL190,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,LLVSS,PEALE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,LLVSS,TOLCA,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,LLVSS,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:045,4,ENDEE8,LLVSS,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,LLVSS,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,MAGOO,MAGOO,K5,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,MAGOO,DARKK,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL310,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,MAGOO,BURUU,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL290,FL240,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,MAGOO,ILIAD,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,MAGOO,LLVSS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,MAGOO,PEALE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,MAGOO,TOLCA,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,MAGOO,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:085,4,ENDEE8,MAGOO,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE8,MAGOO,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,NANEE,NANEE,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,NANEE,MMEGG,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,NANEE,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,OHHMY,OHHMY,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,OHHMY,UGGLY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:025,4,ENDEE8,OHHMY,JNSNN,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,OHHMY,AGONY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL210,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,OHHMY,FARCE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,OHHMY,CHUMP,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,OHHMY,HEDOC,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,OHHMY,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,OHHMY,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE8,OHHMY,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ENDEE8,OHHMY,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:105,4,ENDEE8,OHHMY,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,ENDEE8,OHHMY,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,PHEEB,PHEEB,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,PHEEB,POOGY,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:025,4,ENDEE8,PHEEB,DAJON,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,PHEEB,NANEE,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,PHEEB,MMEGG,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,PHEEB,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,POOGY,POOGY,K5,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:015,4,ENDEE8,POOGY,DAJON,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,POOGY,NANEE,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,POOGY,MMEGG,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,POOGY,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,ENDEE8,UGGLY,UGGLY,K3,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:015,4,ENDEE8,UGGLY,JNSNN,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE8,UGGLY,AGONY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL210,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE8,UGGLY,FARCE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE8,UGGLY,CHUMP,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE8,UGGLY,HEDOC,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE8,UGGLY,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE8,UGGLY,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE8,UGGLY,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE8,UGGLY,JILLZ,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:095,4,ENDEE8,UGGLY,TMRAA,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ENDEE8,UGGLY,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,250,    ,   , , , , , , , , ;
STAR:010,5,ENDEE8, ,ENDEE,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,18000, ,250,    ,   , , , , , , , , ;
STAR:020,5,ENDEE8, ,STKNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE8,RW04R,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE8,RW04R,ALQUE,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,ENDEE8,RW04R,ALQUE,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2419,1343,0470,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,ENDEE8,RW13L,STKNY,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,ENDEE8,RW13L,GORLC,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
