STAR:010,5,ARAG1A,RW06,ARAGU,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ARAG1A,RW06,BY600,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ARAG1A,RW06,INUKI,DN,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,ARAG1B,RW24,ARAGU,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,ARAG1B,RW24,DEVGO,DN,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,200,    ,   , , , , , , , , ;
APPCH:010,A,R06,GAKAD,GAKAD,DN,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06,GAKAD,KEVSA,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R06,GAKAD,BY500,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R06,IKSID,IKSID,DN,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06,IKSID,KEVSA,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R06,IKSID,BY500,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R06,INUKI,INUKI,DN,E,A,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06,INUKI,KEVSA,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R06,INUKI,BY500,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,R,R06, ,BY500,DN,P,C,E  F, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,05000,-,200,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R06, ,RW06,DN,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0610,0050, ,00075,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R06, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,0610,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R06, ,INUKI,DN,E,A,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R06, ,INUKI,DN,E,A,EE H,L,010,HM, , , , , ,      ,    ,    ,1510,T010,+,02500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R24,DEVGO,DEVGO,DN,E,A,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R24,DEVGO,EMREP,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R24,DEVGO,BY400,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R24,EBSUL,EBSUL,DN,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R24,EBSUL,EMREP,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R24,EBSUL,BY400,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:010,A,R24,EDKOL,EDKOL,DN,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,05000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R24,EDKOL,EMREP,DN,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:030,A,R24,EDKOL,BY400,DN,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,     ,-,200,    ,   , , , , , ,B,J,S;
APPCH:020,R,R24, ,BY400,DN,P,C,E  F, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,01670,     ,05000,-,200,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R24, ,RW24,DN,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2410,0050, ,00075,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R24, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,2410,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R24, ,DEVGO,DN,E,A,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R24, ,DEVGO,DN,E,A,EE H,L,010,HM, , , , , ,      ,    ,    ,1510,T010,+,02500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW06 ,     ,      ,00025, ,    , ,   ;N04570343,E006112984,0000;
RWY:RW24 ,     ,      ,00025, ,    , ,   ;N04575172,E006125446,0000;
