APPCH:020,A,R10-Z,CELIA,REVME,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,A,R10-Z,STRIM,STRIM,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,A,R10-Z,STRIM,REVME,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,R,R10-Z, ,REVME,K2,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,R,R10-Z, ,INEDE,K2,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1040,0068,+,08700,     ,     ,-,160,    ,   ,RW10,K2,P,G, ,A,P,S;
APPCH:030,R,R10-Z, ,RW10,K2,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1040,0065, ,06639,     ,     , ,   ,-300,   , , , , , ,A,P,S;
APPCH:040,R,R10-Z, ,OBTUE,K2,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:050,R,R10-Z, ,TILLI,K2,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,13800,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:060,R,R10-Z, ,TILLI,K2,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,1180,0080,+,13800,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,A,R28,CHE,CHE,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,CHE,HIPNA,K2,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R28,CHE,HIPNA,K2,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,3030,0080,+,13000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,TILLI,TILLI,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,TILLI,HIPNA,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,UYRAG,UYRAG,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,UYRAG,TUSKK,K2,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R28,UYRAG,HIPNA,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R28, ,HIPNA,K2,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:015,R,R28, ,PICIN,K2,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,3030,0058,+,11000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R28, ,BEEAR,K2,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3030,0039,+,10000,     ,     , ,   ,-350,   ,WOGRI,K2,P,C, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R28, ,DICEV,K2,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,3030,0037,+,08600,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:027,R,R28, ,BUYYA,K2,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,3030,0020,+,07820,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:030,R,R28, ,WOGRI,K2,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3030,0028, ,06831,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:040,R,R28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R28, ,NESPE,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R28, ,MEKWY,K2,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R28, ,MEKWY,K2,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,1200,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28-M,CHE,CHE,K2,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,250,    ,   , , , , , ,A,P,S;
APPCH:020,A,R28-M,CHE,DADRE,K2,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:030,A,R28-M,CHE,YESUV,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     ,-,210,    ,   , , , , , ,A,P,S;
APPCH:040,A,R28-M,CHE,SETRE,K2,P,C,E   ,R,502,RF, , , , , ,003000,    ,    ,    ,0060,+,09500,     ,     , ,   ,    ,   ,CFFVH,K2,P,C, ,A,P,S;
APPCH:050,A,R28-M,CHE,ROVIE,K2,P,C,EE  ,R,502,RF, , , , , ,003000,    ,    ,    ,0060,+,08800,     ,     , ,   ,    ,   ,CFFVH,K2,P,C, ,A,P,S;
