SID:010,4,DOTA1A,RW05R,AA008,UA,P,C,EE  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0047,+,03500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,DOTA1A, ,AA008,UA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,10000,-,250,    ,   ,ATA,UA,D, , , , , ;
SID:020,5,DOTA1A, ,LEGLA,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOTA1A, ,TIRBA,UA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOTA1A, ,BAGNA,UA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOTA1A, ,DOTAL,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,DOTA1F,RW23L,DE23L,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,DOTA1F,RW23L,AA203,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,2318,0067,2310,0031,+,03000,     ,     ,-,240,    ,   , , , , , , , , ;
SID:005,4,DOTA1F,RW23R,DE23R,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,DOTA1F,RW23R,AA203,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,2318,0067,2310,0034,+,03000,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,DOTA1F, ,AA203,UA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,10000,-,240,    ,   ,ATA,UA,D, , , , , ;
SID:020,5,DOTA1F, ,AA208,UA,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOTA1F, ,AA210,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOTA1F, ,AA212,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,DOTA1F, ,AA214,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOTA1F, ,AA216,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DOTA1F, ,DOTAL,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,DOTA1J,RW23L,DE23L,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,DOTA1J,RW23L,AA203,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,2318,0067,2310,0031,+,03500,     ,     ,-,240,    ,   , , , , , , , , ;
