APPCH:010,R,R30, ,BRNIE,K5,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R30, ,HOLGR,K5,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2970,0081,+,02600,     ,     , ,   ,    ,   ,RW30,K5,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R30, ,PUNUE,K5,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2960,0028,+,01700,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R30, ,RW30,K5,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2960,0033, ,00665,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R30, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2960,    ,+,00819,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R30, ,MONTR,K5,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R30, ,MONTR,K5,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1160,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW12 ,     ,      ,00632, ,    , ,   ;N39215900,W084315182,0000;
RWY:RW30 ,     ,      ,00619, ,IRQF,1,   ;N39214007,W084304618,0000;
