SID:040,5,POLT1Q,RW18R,MM805,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,POLT1Q,RW18R,POLTO,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,UMUN1Q,RW18R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00470,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:020,5,UMUN1Q,RW18R,MM800,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1860,0115,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UMUN1Q,RW18R,MM801,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,UMUN1Q,RW18R,MM803,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,UMUN1Q,RW18R,LAG,DN,D, ,V   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,UMUN1Q,RW18R,UMUNA,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,UMUN1S,RW18L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00510,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:020,5,UMUN1S,RW18L,MM810,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1812,0103,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UMUN1S,RW18L,MM811,DN,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,UMUN1S,RW18L,MM813,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,UMUN1S,RW18L,UMUNA,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,UMUN2S,RW18L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00510,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:020,5,UMUN2S,RW18L,MM810,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1812,0103,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,UMUN2S,RW18L,MM801,DN,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,UMUN2S,RW18L,MM803,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,UMUN2S,RW18L,LAG,DN,D, ,V   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,UMUN2S,RW18L,UMUNA,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,BUDS1M,RW18L,BUDSI,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
