APPCH:040,A,D14,ABH,NOBDA,OE,P,C,EE  , ,   ,CF, ,KAM,OE,D, ,      ,3139,0051,1340,0089,+,08300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D14,BAREK,BAREK,OE,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D14,BAREK,D338N,OE,P,C,E   , ,   ,CF, ,KAM,OE,D, ,      ,3382,0140,1580,0137,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D14,BAREK,D314N,OE,P,C,E   ,L,   ,AF, ,KAM,OE,D, ,      ,3140,0140,3380,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D14,BAREK,NOBDA,OE,P,C,EE  , ,   ,CF, ,KAM,OE,D, ,      ,3139,0051,1340,0089,+,08300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D14,GASEM,GASEM,OE,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D14,GASEM,D314N,OE,P,C,E   , ,   ,CF, ,KAM,OE,D, ,      ,3140,0140,1340,0177,+,11000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D14,GASEM,NOBDA,OE,P,C,EE  , ,   ,CF, ,KAM,OE,D, ,      ,3139,0051,1340,0089,+,08300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D14,KUNLU,KUNLU,OE,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D14,KUNLU,D291N,OE,P,C,E   , ,   ,CF, ,KAM,OE,D, ,      ,2914,0140,1110,0217,+,11000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D14,KUNLU,D314N,OE,P,C,E   ,R,   ,AF, ,KAM,OE,D, ,      ,3140,0140,2910,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D14,KUNLU,NOBDA,OE,P,C,EE  , ,   ,CF, ,KAM,OE,D, ,      ,3139,0051,1340,0089,+,08300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D14,PAVAR,PAVAR,OE,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
