APPCH:020,R,R01LY, ,JETUX,K3,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0160,0060,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R01LY, ,HAGEK,K3,P,C,E S , ,   ,TF, , , , , ,      ,    ,    ,0160,0033,+,01920,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R01LY, ,RW01L,K3,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0160,0018, ,01365,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R01LY, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0160,    ,+,01514,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R01LY, ,ACUBO,K3,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R01LY, ,ACUBO,K3,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1960,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R01LZ,MIROR,MIROR,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,A,R01LZ,MIROR,BACAY,K3,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     ,-,230,    ,   , , , , , ,A,P,S;
APPCH:030,A,R01LZ,MIROR,CUTIK,K3,P,C,EE B, ,702,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,R,R01LZ, ,CUTIK,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,R,R01LZ, ,JETUX,K3,P,C,E  F, ,302,TF, , , , , ,      ,    ,    ,0160,0060,+,03000,     ,     , ,   ,    ,   ,RW01L,K3,P,G, ,A,P,S;
APPCH:030,R,R01LZ, ,RW01L,K3,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0160,0051, ,01365,     ,     , ,   ,-300,   , , , , , ,A,P,S;
APPCH:040,R,R01LZ, ,ACUBO,K3,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:050,R,R01LZ, ,ACUBO,K3,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1960,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,A,R01R,BBRIK,BBRIK,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R01R,BBRIK,YELOO,K3,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R01R,FOLOW,FOLOW,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R01R,FOLOW,YELOO,K3,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R01R,YELOO,YELOO,K3,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0160,0040,+,03600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R01R, ,YELOO,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R01R, ,RROAD,K3,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0160,0070,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R01R, ,RW01R,K3,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0160,0042, ,01375,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R01R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0160,    ,+,01521,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R01R, ,JAXSU,K3,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
