SID:040,2,NSH2F, ,LCZ33,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,NSH2F, ,PIKEM,ZL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NSH2F, ,NSH,ZL,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NSH2G,RW23R,DE23R,ZL,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZNX,ZL,D, , , , , ;
SID:020,2,NSH2G,RW23R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2320,    ,+,02140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NSH2G,RW23R,D262K,ZL,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NSH2G,RW23R, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,2620,0158, ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:050,2,NSH2G,RW23R, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NSH2G,RW23R,D232G,ZL,P,C,E   , ,   ,CF, ,LCZ,ZL,D, ,      ,2320,0072,1400,0080,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NSH2G,RW23R,ZS,ZL,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,NSH2G,RW23R,D176Y,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,2,NSH2G,RW23R,LCZ33,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,2,NSH2G,RW23R,PIKEM,ZL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,2,NSH2G,RW23R,NSH,ZL,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NSH2H,RW05L,DE05L,ZL,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KLX,ZL,D, , , , , ;
SID:020,2,NSH2H,RW05L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0520,    ,+,02140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NSH2H,RW05L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0160,0114,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NSH2H,RW05L,FNH,ZL,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,NSH2H,RW05L,D154J,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NSH2H,RW05L,ZS,ZL,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NSH2H,RW05L,D176Y,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,NSH2H,RW05L,LCZ33,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,2,NSH2H,RW05L,PIKEM,ZL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,2,NSH2H,RW05L,NSH,ZL,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,NSH7R,RW05L,DE05L,ZL,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KLX,ZL,D, , , , , ;
SID:020,5,NSH7R,RW05L, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0520,    ,+,02140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,NSH7R,RW05L,XY410,ZL,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,NSH7R,RW05L, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0170,    ,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,NSH7R,RW05L,FNH,ZL,D, ,V   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,NSH7R,RW05L,ZS,ZL,D,B,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,NSH7R,RW05L,XY406,ZL,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,NSH7R,RW05L,PIKEM,ZL,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,NSH7R,RW05L,NSH,ZL,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,NSH7S,RW23R,DE23R,ZL,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZNX,ZL,D, , , , , ;
SID:010,5,NSH7S,RW23R, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,2320,    ,+,02140,     ,     , ,   ,    ,   , , , , , , , , ;
