SID:025,1,DENA5C,RW26L, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,0110,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DENA5C,RW26L,VAKUP,LR,E,A,E   , ,   ,CF, ,FLR,LR,D, ,      ,0407,0353,0410,0220,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,DENA5C,RW26L,DENAK,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,DENA5C,RW26R,OTL,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:025,1,DENA5C,RW26R, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,0110,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DENA5C,RW26R,VAKUP,LR,E,A,E   , ,   ,CF, ,FLR,LR,D, ,      ,0407,0353,0410,0210,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,DENA5C,RW26R,DENAK,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,IDAR1K,RW08L,OP887,LR,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,4,IDAR1K,RW08L,IDARU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,IDAR1K,RW08R,OP888,LR,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,4,IDAR1K,RW08R,IDARU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,IDAR1M,RW26L,OP662,LR,E,A,EYC , ,   ,CF, ,FLR,LR,D, ,      ,0697,0134,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,IDAR1M,RW26L,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:010,4,IDAR1M,RW26R,OP661,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0668,0136,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,IDAR1M,RW26R,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:010,5,IDAR1M, ,OP667,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:020,5,IDAR1M, ,ETOGO,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IDAR1M, ,IDARU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,IDAR4A,RW08L,OTR,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,IDAR4A,RW08L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1060,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,IDAR4A,RW08L,OPT,LR,D, ,V   , ,   ,CF, ,OPT,LR,D, ,      ,0000,0000,0760,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,IDAR4A,RW08L,IDARU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,IDAR4A,RW08R,OPE,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:040,1,IDAR4A,RW08R,OPT,LR,D, ,V   , ,   ,CF, ,OPT,LR,D, ,      ,0000,0000,0760,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,IDAR4A,RW08R,IDARU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,IDAR4C,RW26L,OPW,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,IDAR4C,RW26L, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,IDAR4C,RW26L,OPT,LR,D, ,V   , ,   ,CF, ,OPT,LR,D, ,      ,0000,0000,0950,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,IDAR4C,RW26L,IDARU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,IDAR4C,RW26R,OTL,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,IDAR4C,RW26R, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,IDAR4C,RW26R,OPT,LR,D, ,V   , ,   ,CF, ,OPT,LR,D, ,      ,0000,0000,0950,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,IDAR4C,RW26R,IDARU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NETU1K,RW08L,OP887,LR,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,4,NETU1K,RW08L,NETUL,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NETU1K,RW08R,OP888,LR,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,4,NETU1K,RW08R,NETUL,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NETU1M,RW26L,OP662,LR,E,A,EYC , ,   ,CF, ,FLR,LR,D, ,      ,0697,0134,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,NETU1M,RW26L,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:010,4,NETU1M,RW26R,OP661,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0668,0136,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,NETU1M,RW26R,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:010,5,NETU1M, ,OP667,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:020,5,NETU1M, ,ETOGO,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,NETU1M, ,NETUL,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,NETU3A,RW08L,OTR,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,NETU3A,RW08L,NETUL,LR,E,A,EEC , ,   ,CF, ,FLR,LR,D, ,      ,0725,0557,0730,0320,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,NETU3A,RW08R,OPE,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,NETU3A,RW08R,NETUL,LR,E,A,EEC , ,   ,CF, ,FLR,LR,D, ,      ,0725,0557,0730,0320,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,NETU5C,RW26L,OPW,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,NETU5C,RW26L, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NETU5C,RW26L,LIVGA,LR,E,A,E   , ,   ,CF, ,OPT,LR,D, ,      ,2753,0065,0950,0180, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,NETU5C,RW26L,NETUL,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,NETU5C,RW26R,OTL,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,NETU5C,RW26R, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NETU5C,RW26R,LIVGA,LR,E,A,E   , ,   ,CF, ,OPT,LR,D, ,      ,2753,0065,0950,0180, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,NETU5C,RW26R,NETUL,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,POLU1K,RW08L,OP883,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,0729,0274,0790,0090,+,04000,     ,04000,-,250,    ,   , , , , , , , , ;
SID:030,4,POLU1K,RW08L,OP889,LR,P,C,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,POLU1K,RW08R,OP884,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,0743,0273,0790,0090,+,04000,     ,04000,-,250,    ,   , , , , , , , , ;
SID:030,4,POLU1K,RW08R,OP889,LR,P,C,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,POLU1K, ,OP889,LR,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:015,5,POLU1K, ,USIRO,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,POLU1K, ,POLUN,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,POLU1M,RW26L,OP666,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,0475,0041,2590,0130,+,04000,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,4,POLU1M,RW26L,SISGU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,POLU1M,RW26R,OP665,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,0476,0054,2590,0120,+,04000,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,4,POLU1M,RW26R,SISGU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,POLU1M, ,SISGU,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,POLU1M, ,POLUN,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,POLU3C,RW26L,OPW,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,POLU3C,RW26L,FLR,LR,D, ,VE  , ,   ,CF, ,FLR,LR,D, ,      ,0000,0000,2480,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,POLU3C,RW26R,OTL,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,POLU3C,RW26R,FLR,LR,D, ,VE  , ,   ,CF, ,FLR,LR,D, ,      ,0000,0000,2480,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,POLU3C, ,FLR,LR,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,2,POLU3C, ,POLUN,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:003,1,POLU5A,RW08L,D264Q,LR,P,C,EY  , ,   ,CF, ,OPT,LR,D, ,      ,2631,0170,0790,0020, ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:010,1,POLU5A,RW08L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0790,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,POLU5A,RW08L,OLNOR,LR,E,A,EE  , ,   ,CF, ,STJ,LR,D, ,      ,1500,0351,1500,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,POLU5A,RW08R,D262Q,LR,P,C,EY  , ,   ,CF, ,OPT,LR,D, ,      ,2608,0170,0790,0020, ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,1,POLU5A,RW08R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0790,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,POLU5A,RW08R,OLNOR,LR,E,A,EE  , ,   ,CF, ,STJ,LR,D, ,      ,1500,0351,1500,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,POLU5A, ,OLNOR,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,2,POLU5A, ,ORSUT,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,POLU5A, ,POLUN,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SOKR1A,RW08B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0790,    ,+,00800,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,2,SOKR1A,RW08B,PEXAL,LR,E,A,E   ,L,   ,CF, ,FLR,LR,D, ,      ,0476,0209,3330,0070,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,SOKR1A,RW08B,STJ,LR,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SOKR1A,RW08B,SOKRU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,SOKR1C,RW26L,OPW,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,SOKR1C,RW26L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,1,SOKR1C,RW26L,ABNEK,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,3265,0261,3270,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,SOKR1C,RW26L,SOKRU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,SOKR1C,RW26R,OTL,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,SOKR1C,RW26R, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,1,SOKR1C,RW26R,ABNEK,LR,P,C,E   , ,   ,CF, ,FLR,LR,D, ,      ,3265,0261,3270,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,SOKR1C,RW26R,SOKRU,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,SOKR1K,RW08L,OP881,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0712,0214,0790,0030,+,00900,     ,04000,-,220,    ,   , , , , , , , , ;
SID:030,4,SOKR1K,RW08L,OP890,LR,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,SOKR1K,RW08R,OP882,LR,P,C,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0730,0214,0790,0040, ,     ,     ,04000,-,220,    ,   , , , , , , , , ;
SID:030,4,SOKR1K,RW08R,OP890,LR,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,SOKR1K, ,OP890,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,SOKR1K, ,OP891,LR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,SOKR1K, ,GOMDI,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,SOKR1K, ,SOKRU,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
