SID:010,5,MARFA2,RW07,FONOS,K4,P,C,E   , ,   ,CF, ,COT,K4,D, ,      ,2739,2421,0690,0042, ,     ,     ,18000, ,   ,    ,   ,T89,K4,P,A, , , , ;
APPCH:050,R,R07, ,RUZEL,K4,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R07, ,RUZEL,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2590,0110,+,15000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R25-Y,MRF,MRF,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-Y,MRF,COMAE,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-Y,MRF,WEDEL,K4,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,250,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-Y,MRF,SOCCR,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R25-Y,RUZEL,RUZEL,K4,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-Y,RUZEL,COMAE,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-Y,RUZEL,WEDEL,K4,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,250,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-Y,RUZEL,SOCCR,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R25-Y, ,SOCCR,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R25-Y, ,JAROR,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2390,0070,+,05700,     ,     , ,   ,    ,   ,RW25,K4,P,G, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R25-Y, ,CENBA,K4,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2490,0048,+,04060,     ,     , ,   ,-320,   , , , , , ,A,J,S;
APPCH:030,R,R25-Y, ,RW25,K4,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2490,0041, ,02673,     ,     , ,   ,-320,   , , , , , ,A,J,S;
APPCH:040,R,R25-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2490,    ,+,04200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R25-Y, ,RUZEL,K4,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R25-Y, ,RUZEL,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0930,0110,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R25-Z,MRF,MRF,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-Z,MRF,COMAE,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-Z,MRF,WEDEL,K4,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-Z,MRF,SOCCR,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R25-Z,RUZEL,RUZEL,K4,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R25-Z,RUZEL,COMAE,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R25-Z,RUZEL,WEDEL,K4,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     ,-,210,    ,   , , , , , ,A,J,S;
APPCH:040,A,R25-Z,RUZEL,SOCCR,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R25-Z, ,SOCCR,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R25-Z, ,JAROR,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2390,0070,+,05700,     ,     , ,   ,    ,   ,RW25,K4,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV, ,          , ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R25-Z, ,RW25,K4,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2490,0089, ,02673,     ,     , ,   ,-320,   , , , , , ,A,J,S;
APPCH:040,R,R25-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2490,    ,+,03700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R25-Z, ,RUZEL,K4,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R25-Z, ,RUZEL,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0930,0110,+,15000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW07 ,     ,      ,02608, ,    , ,   ;N29163115,W103414481,0000;
RWY:RW25 ,     ,      ,02628, ,    , ,   ;N29164415,W103403291,0000;
