SID:045,5,EVIK1F,RW19,SKP,LG,D, ,V   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EVIK1F,RW19,EVIKO,LG,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,2,IBID1A,RW19, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1940,    ,+,00300,     ,04000, ,   ,    ,   ,SKC,LG,P,N, , , , ;
SID:020,2,IBID1A,RW19,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,1930,    ,+,02000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,IBID1A,RW19,SKP,LG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,IBID1A,RW19,IBIDI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,IBID1B,RW01, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0140,    ,+,00350,     ,04000, ,   ,    ,   ,SKC,LG,P,N, , , , ;
SID:020,2,IBID1B,RW01,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,0130,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,IBID1B,RW01,SKP,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,IBID1B,RW01, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2920,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,IBID1B,RW01,IBIDI,LG,E,A,EEC , ,   ,CF, ,SKP,LG,D, ,      ,3345,0151,3350,0100,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IBID1E,RW01,DER01,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,IBID1E,RW01, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0140,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IBID1E,RW01,SK011,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,3298,0070,0140,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,IBID1E,RW01,SK012,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,IBID1E,RW01,SKP,LG,D, ,V C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,IBID1E,RW01,SK013,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:070,5,IBID1E,RW01,IBIDI,LG,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL075,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,IBID1F,RW19,DER19,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,IBID1F,RW19, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,1940,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IBID1F,RW19,SK191,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,2198,0113,1940,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,IBID1F,RW19,SK192,LG,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:050,5,IBID1F,RW19,IBIDI,LG,E,A,EEC ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL075,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,2,SIGF1A,RW19, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1940,    ,+,00300,     ,04000, ,   ,    ,   ,SKC,LG,P,N, , , , ;
SID:020,2,SIGF1A,RW19,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,1930,    ,+,02000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,SIGF1A,RW19,SKP,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SIGF1A,RW19, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,2170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,SIGF1A,RW19,SIGFO,LG,E,A,EEC , ,   ,CF, ,SKP,LG,D, ,      ,1684,0143,1680,0100,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SIGF1B,RW01, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0140,    ,+,00350,     ,04000, ,   ,    ,   ,SKC,LG,P,N, , , , ;
SID:020,2,SIGF1B,RW01,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,0130,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SIGF1B,RW01,SKP,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,SIGF1B,RW01,SIGFO,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,SIGF1E,RW01,DER01,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,SIGF1E,RW01, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0140,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,SIGF1E,RW01,SK011,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,3298,0070,0140,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,SIGF1E,RW01,SK012,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,SIGF1E,RW01,SKP,LG,D, ,V C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:060,5,SIGF1E,RW01,SIGFO,LG,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,SIGF1F,RW19,DER19,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,SIGF1F,RW19, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,1940,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,SIGF1F,RW19,SK191,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,2198,0113,1940,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,SIGF1F,RW19,SK192,LG,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:050,5,SIGF1F,RW19,SIGFO,LG,E,A,EEC ,R,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:010,2,ETEK1C,ALL,ETEKA,LG,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SKC,LG,P,N, , , , ;
STAR:020,2,ETEK1C,ALL,SKP,LG,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,EVIK1C,ALL,EVIKO,LG,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SKC,LG,P,N, , , , ;
STAR:020,2,EVIK1C,ALL,SKP,LG,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,IBID1C,ALL,IBIDI,LG,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SKC,LG,P,N, , , , ;
STAR:020,2,IBID1C,ALL,SKP,LG,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,SIGF1C,ALL,SIGFO,LG,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SKC,LG,P,N, , , , ;
STAR:020,2,SIGF1C,ALL,SKP,LG,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,Q01,SKP,SKP,LG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q01,SKP,D202C,LG,P,C,E   , ,   ,CF, ,SKP,LG,D, ,      ,2020,0030,2020,0030,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,Q01,SKP,D202J,LG,P,C,EY  , ,   ,CF, ,SKP,LG,D, ,      ,2020,0100,2020,0070,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,Q01,SKP,FQ01,LG,P,C,EE  ,R,   ,CF,Y,SKP,LG,D, ,      ,2255,0083,0070,0030,+,01600,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,Q,Q01, ,FQ01,LG,P,C,E  F, ,   ,IF, ,SKC,LG,P,N,      ,    ,    ,    ,    ,+,01600,     ,     , ,   ,    ,   ,SKC,LG,P,N, ,0, ,S;
APPCH:030,Q,Q01, ,RW01,LG,P,G,G  M, ,   ,CF, ,SKP,LG,D, ,      ,    ,0054,0070,0048, ,00059,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,Q,Q01, ,SKC,LG,P,N,EYM , ,   ,CF, ,SKP,LG,D, ,      ,2609,0054,0070,0002, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,Q,Q01, ,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,0070,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,Q,Q01, ,SKP,LG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:060,Q,Q01, ,SKP,LG,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2610,T010,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,Q19,SKP,SKP,LG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q19,SKP,SKP,LG,D, ,V   , ,   ,FD, ,SKP,LG,D, ,      ,0000,0000,3540,0030,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,Q19,SKP,D354G,LG,P,C,EY  , ,   ,CF, ,SKP,LG,D, ,      ,3540,0070,3540,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,Q19,SKP,FQ19,LG,P,C,EE  ,L,   ,CF,Y,SKP,LG,D, ,      ,3193,0062,1930,0030,+,01700,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,Q,Q19, ,FQ19,LG,P,C,E  F, ,   ,IF, ,SKC,LG,P,N,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   ,SKC,LG,P,N, ,0, ,S;
APPCH:030,Q,Q19, ,RW19,LG,P,G,G  M, ,   ,CF, ,SKP,LG,D, ,      ,    ,0051,1930,0050, ,00104,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,Q,Q19, ,SKC,LG,P,N,EYM , ,   ,CF, ,SKP,LG,D, ,      ,2609,0054,1930,0007, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,Q,Q19, ,SKC,LG,P,N,E   , ,   ,FA, ,SKP,LG,D, ,      ,2609,0054,1930,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,Q,Q19, ,SKP,LG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:060,Q,Q19, ,SKP,LG,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2610,T010,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW01 ,     ,      ,00009, ,    , ,   ;N39101544,E023300320,0190;
RWY:RW19 ,     ,      ,00054, ,    , ,   ;N39110357,E023302457,0000;
