SID:050,5,ZIFO1M,RW17,ZIFOG,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ZIFO1T,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3470,    ,+,00730,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ZIFO1T,RW35,CS470,LP,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ZIFO1T,RW35,CS440,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ZIFO1T,RW35,CS445,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ZIFO1T,RW35,EXFUN,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ZIFO1T,RW35,ZIFOG,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ESUT1R,RW35,ESUTI,LP,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL250,     ,     , ,280,    ,   , , , , , , , , ;
STAR:020,5,ESUT1R,RW35,UNPOT,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,ESUT1R,RW35,CS402,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,ESUT1R,RW35,CASLU,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:050,5,ESUT1R,RW35,EKMAR,LP,E,A,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:060,5,ESUT1R,RW35,CEFOX,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:010,5,LAZE1R,RW35,LAZET,LP,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL250,     ,     , ,280,    ,   , , , , , , , , ;
STAR:020,5,LAZE1R,RW35,RULOX,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,LAZE1R,RW35,CS406,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,LAZE1R,RW35,CASLU,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:050,5,LAZE1R,RW35,EKMAR,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:060,5,LAZE1R,RW35,CEFOX,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:010,5,UPUL1R,RW35,UPULO,LP,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL250,     ,     , ,280,    ,   , , , , , , , , ;
STAR:020,5,UPUL1R,RW35,EXONA,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,UPUL1R,RW35,CS414,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,UPUL1R,RW35,CS413,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:050,5,UPUL1R,RW35,CS402,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:060,5,UPUL1R,RW35,CASLU,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:070,5,UPUL1R,RW35,EKMAR,LP,E,A,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:080,5,UPUL1R,RW35,CEFOX,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:010,5,VATZ1R,RW35,VATZI,LP,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL250,     ,     , ,280,    ,   , , , , , , , , ;
STAR:020,5,VATZ1R,RW35,LUXUT,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,VATZ1R,RW35,CS402,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,VATZ1R,RW35,CASLU,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:050,5,VATZ1R,RW35,EKMAR,LP,E,A,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:060,5,VATZ1R,RW35,CEFOX,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:010,5,XAMA2R,RW35,XAMAX,LP,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,FL290,     ,     , ,280,    ,   , , , , , , , , ;
STAR:020,5,XAMA2R,RW35,PT810,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,XAMA2R,RW35,PT812,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:035,5,XAMA2R,RW35,PT832,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,XAMA2R,RW35,PT814,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:050,5,XAMA2R,RW35,CS407,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:060,5,XAMA2R,RW35,CS406,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:070,5,XAMA2R,RW35,CASLU,LP,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:080,5,XAMA2R,RW35,EKMAR,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     ,-,180,    ,   , , , , , , , , ;
STAR:090,5,XAMA2R,RW35,CEFOX,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , , , , ;
APPCH:010,A,D35,D192L,D192L,LP,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     ,-,180,    ,   , , , , , ,0, ,S;
APPCH:020,A,D35,D192L,D178L,LP,P,C,EY  ,L,   ,AF, ,CAS,LP,D, ,      ,1780,0119,1920,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D35,D192L,CD35,LP,P,C,EE B, ,   ,CF, ,CAS,LP,D, ,      ,1680,0108,3480,0010, ,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D35, ,CD35,LP,P,C,E  I, ,   ,IF, ,CAS,LP,D, ,      ,1680,0108,    ,    , ,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D35, ,FF35,LP,P,C,E  F, ,   ,CF, ,CAS,LP,D, ,      ,1680,0071,3480,0037, ,02000,     ,     ,-,130,    ,   ,CAS,LP,D, , ,0, ,S;
