STAR:010,2,CCS2A,RW31,CCS,LE,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:040,A,I31-Z,VASOR,D135O,LE,P,C,EY  ,L,   ,AF, ,VBZ,LE,D, ,      ,1350,0150,1760,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,I31-Z,VASOR,CI31Z,LE,P,C,EE B, ,   ,CF, ,ITL,LE,P,I,      ,1266,0122,3070,0040,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I31-Z, ,CI31Z,LE,P,C,E  I, ,   ,IF, ,ITL,LE,P,I,      ,1266,0122,    ,    ,J,03500,02300,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I31-Z, ,FI31Z,LE,P,C,E  F, ,   ,CF, ,ITL,LE,P,I,      ,1265,0069,3070,0053,H,02300,02300,     , ,   ,-300,   ,VBZ,LE,D, , ,0,D,S;
APPCH:030,I,I31-Z, ,RW31,LE,P,G,G  M, ,   ,CF, ,ITL,LE,P,I,      ,1266,0017,3070,0051, ,00661,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I31-Z, ,VBZ,LE,D, ,V M , ,   ,CF, ,VBZ,LE,D, ,      ,0000,0000,3070,0005, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I31-Z, ,VBZ,LE,D, ,V   , ,   ,FD, ,VBZ,LE,D, ,      ,0000,0000,3070,0020, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I31-Z, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1170,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,I,I31-Z, ,NIMAS,LE,E,A,E   , ,   ,CF, ,VBZ,LE,D, ,      ,0860,0200,0860,0140, ,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:080,I,I31-Z, ,NIMAS,LE,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2660,0050,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,T13,TBC30,TBC30,LE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , ,0,D,S;
