STAR:010,5,TILI1A,RW05,TILIR,FA,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,220,    ,   ,FAKN,FA,P,A, , , , ;
APPCH:020,I,I05-Y, ,FI05,FA,P,C,E  F, ,   ,CF, ,PKI,FA,P,I,      ,2342,0107,0540,0047,H,05800,05800,     , ,   ,-300,   ,PKV,FA,D, ,A,0,D,S;
APPCH:030,I,I05-Y, ,RW05,FA,P,G,G  M, ,   ,CF, ,PKI,FA,P,I,      ,2342,0016,0540,0092, ,02873,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I05-Y, ,RW05,FA,P,G,G M , ,   ,FA, ,PKV,FA,D, ,      ,2445,0009,0540,    ,+,03230,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I05-Y, ,PKV,FA,D, ,V   , ,   ,FD, ,PKV,FA,D, ,      ,0000,0000,0540,0050,+,06500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I05-Y, ,PKV,FA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:070,I,I05-Y, ,PKV,FA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0550,T010, ,     ,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:010,I,I05-Z, ,CI05Z,FA,P,C,E  I, ,   ,IF, ,PKI,FA,P,I,      ,2342,0127,    ,    ,J,05800,05800,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I05-Z, ,FI05,FA,P,C,E  F, ,   ,CF, ,PKI,FA,P,I,      ,2342,0107,0540,0019,H,05800,05800,     , ,   ,-300,   ,PKV,FA,D, ,B,0,D,S;
APPCH:030,I,I05-Z, ,RW05,FA,P,G,G  M, ,   ,CF, ,PKI,FA,P,I,      ,2342,0016,0540,0092, ,02873,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I05-Z, ,RW05,FA,P,G,G M , ,   ,FD, ,PKI,FA,D, ,      ,    ,0002,0540,0057,+,06500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I05-Z, ,PKV,FA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:060,I,I05-Z, ,PKV,FA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0550,T010, ,     ,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:010,A,R05,MASHO,MASHO,FA,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R05,MASHO,KN1T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:010,A,R05,OKNIR,OKNIR,FA,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R05,OKNIR,KN1T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:010,R,R05, ,KN1T1,FA,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,R,R05, ,KN1F1,FA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0530,0050, ,04100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R05, ,KN1MP,FA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,0530,0039, ,02875,     ,     , ,   ,-310,   , , , , , ,B,J,S;
APPCH:040,R,R05, ,KN1M1,FA,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:050,R,R05, ,KN1M2,FA,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:060,R,R05, ,MASHO,FA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:070,R,R05, ,MASHO,FA,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,0530,T010,-,FL100,     ,     ,-,210,    ,   , , , , , ,B,J,S;
RWY:RW05 ,     ,      ,02825, ,PKI ,1,   ;S25232975,E031055736,1640;
RWY:RW23 ,     ,      ,02828, ,    , ,   ;S25221976,E031064968,0525;
